method,task,task_label,accuracy,n,seconds,adapter,model,protocol
llada_lora_original,sciq,SciQ,0.88,100,168.38918590545654,results/adaptation/llada_domain_mix_final_typed_grpo_lora_r8_steps50/checkpoint-50,/data/hf/models/GSAI-ML/LLaDA-8B-Instruct,original_ddm_lora
llada_lora_original,winogrande,WinoGrande,0.78,100,167.922376871109,results/adaptation/llada_domain_mix_final_typed_grpo_lora_r8_steps50/checkpoint-50,/data/hf/models/GSAI-ML/LLaDA-8B-Instruct,original_ddm_lora
llada_lora_original,commonsenseqa,CommonsenseQA,0.8,100,168.06602215766907,results/adaptation/llada_domain_mix_final_typed_grpo_lora_r8_steps50/checkpoint-50,/data/hf/models/GSAI-ML/LLaDA-8B-Instruct,original_ddm_lora
ar_lora_control_gain,ceval_computer_network,C-Eval CN,0.020000000000000018,100,,,,gain
ar_lora_control_gain,commonsenseqa,CommonsenseQA,0.040000000000000036,100,,,,gain
ar_lora_control_gain,mmlu_pro,MMLU-Pro,0.020000000000000018,100,,,,gain
ar_lora_control_gain,pubmedqa,PubMedQA,0.26,100,,,,gain
ar_lora_control_gain,sciq,SciQ,0.0,100,,,,gain
ar_lora_control_gain,winogrande,WinoGrande,0.08999999999999997,100,,,,gain
ddm_lora_control_gain,ceval_computer_network,C-Eval CN,-0.010000000000000009,100,,,,gain
ddm_lora_control_gain,commonsenseqa,CommonsenseQA,0.0,100,,,,gain
ddm_lora_control_gain,mmlu_pro,MMLU-Pro,0.0,100,,,,gain
ddm_lora_control_gain,pubmedqa,PubMedQA,0.0,100,,,,gain
ddm_lora_control_gain,sciq,SciQ,0.0,100,,,,gain
ddm_lora_control_gain,winogrande,WinoGrande,0.0,100,,,,gain
ddm_lora_original_gain,ceval_computer_network,C-Eval CN,-0.039999999999999925,100,,,,gain
ddm_lora_original_gain,commonsenseqa,CommonsenseQA,-0.06999999999999995,100,,,,gain
ddm_lora_original_gain,mmlu_pro,MMLU-Pro,0.09000000000000002,100,,,,gain
ddm_lora_original_gain,pubmedqa,PubMedQA,-0.030000000000000027,100,,,,gain
ddm_lora_original_gain,sciq,SciQ,-0.040000000000000036,100,,,,gain
ddm_lora_original_gain,winogrande,WinoGrande,0.15000000000000002,100,,,,gain
